freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.080e+02,7.337e+01,6.039e+02,7.852e+02
1.5,4.995e+02,2.313e+02,3.868e+02,1.118e+03
3.0,6.525e+02,2.167e+02,7.058e+01,9.398e+02
4.5,1.044e+03,2.079e+02,3.254e+02,1.578e+03
6.0,1.139e+03,2.688e+02,1.200e+03,2.608e+03
7.4,8.126e+02,2.624e+02,2.063e+03,3.138e+03
8.9,1.090e+03,2.400e+02,3.037e+03,4.367e+03
10.4,9.151e+02,2.259e+02,3.578e+03,4.719e+03
11.9,9.658e+02,2.312e+02,4.428e+03,5.625e+03
13.4,1.082e+03,2.264e+02,5.640e+03,6.948e+03
14.9,1.232e+03,2.154e+02,6.908e+03,8.356e+03
16.4,1.254e+03,2.115e+02,8.614e+03,1.008e+04
17.9,1.294e+03,2.136e+02,1.064e+04,1.214e+04
19.4,1.191e+03,2.281e+02,1.309e+04,1.450e+04
20.9,1.181e+03,2.182e+02,1.591e+04,1.731e+04
22.3,1.250e+03,2.426e+02,1.898e+04,2.047e+04
23.8,1.158e+03,2.976e+02,2.213e+04,2.358e+04
25.3,9.817e+02,2.884e+02,2.485e+04,2.612e+04
26.8,1.066e+03,2.541e+02,2.722e+04,2.854e+04
28.3,1.232e+03,2.253e+02,3.029e+04,3.175e+04
29.8,1.236e+03,2.128e+02,3.468e+04,3.613e+04
31.3,1.063e+03,2.102e+02,4.053e+04,4.181e+04
32.8,1.016e+03,2.495e+02,4.757e+04,4.883e+04
34.3,9.474e+02,2.969e+02,5.610e+04,5.735e+04
35.8,8.540e+02,2.905e+02,6.610e+04,6.724e+04
37.2,9.826e+02,3.312e+02,7.822e+04,7.953e+04
38.7,9.861e+02,4.255e+02,9.202e+04,9.343e+04
40.2,1.010e+03,5.814e+02,1.082e+05,1.098e+05
41.7,1.038e+03,1.099e+03,1.308e+05,1.329e+05
43.2,1.319e+03,2.128e+03,1.594e+05,1.628e+05
44.7,1.510e+03,3.070e+03,1.950e+05,1.996e+05
46.2,1.956e+03,4.028e+03,2.429e+05,2.488e+05
47.7,2.254e+03,5.058e+03,3.035e+05,3.108e+05
49.2,2.786e+03,6.643e+03,3.888e+05,3.983e+05
50.6,4.659e+03,9.340e+03,5.207e+05,5.347e+05
52.1,6.299e+03,1.354e+04,7.109e+05,7.307e+05
53.6,9.108e+03,2.110e+04,1.025e+06,1.056e+06
55.1,1.375e+04,2.920e+04,1.371e+06,1.414e+06
56.6,1.858e+04,4.011e+04,1.633e+06,1.692e+06
58.1,2.829e+04,5.377e+04,1.774e+06,1.856e+06
59.6,4.011e+04,7.007e+04,1.732e+06,1.842e+06
61.1,5.275e+04,8.074e+04,1.614e+06,1.747e+06
62.6,5.070e+04,7.896e+04,1.446e+06,1.575e+06
64.1,4.260e+04,7.136e+04,1.240e+06,1.354e+06
65.5,3.652e+04,6.423e+04,9.967e+05,1.097e+06
67.0,3.242e+04,6.094e+04,8.022e+05,8.955e+05
68.5,3.106e+04,5.766e+04,6.411e+05,7.298e+05
70.0,2.769e+04,5.217e+04,5.149e+05,5.947e+05
71.5,2.236e+04,4.698e+04,4.731e+05,5.425e+05
73.0,1.924e+04,4.426e+04,4.478e+05,5.113e+05
74.5,1.793e+04,4.111e+04,3.940e+05,4.530e+05
76.0,1.419e+04,3.593e+04,3.367e+05,3.868e+05
77.5,1.108e+04,3.294e+04,2.909e+05,3.349e+05
78.9,1.003e+04,3.442e+04,2.572e+05,3.016e+05
80.4,9.070e+03,3.478e+04,2.141e+05,2.580e+05
81.9,8.451e+03,3.648e+04,1.716e+05,2.166e+05
83.4,7.031e+03,3.456e+04,1.282e+05,1.698e+05
84.9,7.276e+03,3.441e+04,9.284e+04,1.345e+05
86.4,8.618e+03,3.894e+04,7.432e+04,1.219e+05
87.9,1.176e+04,4.656e+04,6.345e+04,1.218e+05
89.4,1.461e+04,5.337e+04,5.608e+04,1.241e+05
90.9,1.644e+04,5.749e+04,5.352e+04,1.274e+05
92.4,1.820e+04,6.321e+04,5.494e+04,1.364e+05
93.8,1.856e+04,6.469e+04,5.280e+04,1.360e+05
95.3,1.718e+04,5.924e+04,4.794e+04,1.244e+05
96.8,1.429e+04,4.903e+04,4.366e+04,1.070e+05
98.3,1.690e+04,5.322e+04,3.911e+04,1.092e+05
99.8,2.073e+04,6.036e+04,3.674e+04,1.178e+05
101.3,2.021e+04,5.556e+04,3.430e+04,1.101e+05
102.8,1.846e+04,5.127e+04,3.008e+04,9.981e+04
104.3,1.830e+04,5.149e+04,2.539e+04,9.517e+04
105.8,1.874e+04,5.286e+04,2.108e+04,9.268e+04
107.3,1.830e+04,5.314e+04,1.814e+04,8.958e+04
108.7,1.807e+04,5.150e+04,1.782e+04,8.738e+04
110.2,2.010e+04,5.476e+04,1.845e+04,9.331e+04
111.7,2.195e+04,5.935e+04,1.816e+04,9.946e+04
113.2,2.341e+04,6.433e+04,1.644e+04,1.042e+05
114.7,2.600e+04,7.244e+04,1.623e+04,1.147e+05
116.2,2.923e+04,7.922e+04,1.736e+04,1.258e+05
117.7,3.086e+04,8.504e+04,1.844e+04,1.343e+05
119.2,3.236e+04,9.436e+04,1.999e+04,1.467e+05
120.7,3.482e+04,1.095e+05,2.384e+04,1.682e+05
122.1,3.692e+04,1.210e+05,2.854e+04,1.865e+05
123.6,3.962e+04,1.305e+05,3.414e+04,2.043e+05
125.1,4.193e+04,1.319e+05,3.866e+04,2.125e+05
126.6,4.262e+04,1.339e+05,4.210e+04,2.186e+05
128.1,4.292e+04,1.396e+05,4.852e+04,2.310e+05
129.6,4.530e+04,1.455e+05,5.776e+04,2.485e+05
131.1,4.099e+04,1.350e+05,5.712e+04,2.331e+05
132.6,2.644e+04,1.025e+05,4.918e+04,1.782e+05
134.1,1.206e+04,5.920e+04,4.056e+04,1.118e+05
135.6,1.101e+04,5.604e+04,4.210e+04,1.091e+05
137.0,1.254e+04,6.080e+04,4.653e+04,1.199e+05
138.5,1.463e+04,6.896e+04,5.345e+04,1.370e+05
140.0,1.677e+04,7.473e+04,5.859e+04,1.501e+05
141.5,1.875e+04,7.176e+04,6.763e+04,1.581e+05
143.0,2.450e+04,7.259e+04,8.021e+04,1.773e+05
144.5,2.594e+04,8.238e+04,7.898e+04,1.873e+05
146.0,2.617e+04,7.940e+04,8.317e+04,1.887e+05
147.5,3.225e+04,8.552e+04,9.393e+04,2.117e+05
149.0,3.535e+04,9.194e+04,1.009e+05,2.282e+05
150.4,3.840e+04,9.764e+04,1.111e+05,2.472e+05
151.9,4.334e+04,1.029e+05,1.162e+05,2.625e+05
153.4,4.879e+04,1.112e+05,1.252e+05,2.852e+05
154.9,5.694e+04,1.199e+05,1.406e+05,3.174e+05
156.4,6.062e+04,1.200e+05,1.417e+05,3.223e+05
157.9,6.518e+04,1.229e+05,1.465e+05,3.346e+05
159.4,7.227e+04,1.297e+05,1.609e+05,3.629e+05
160.9,8.476e+04,1.276e+05,1.950e+05,4.074e+05
162.4,1.034e+05,1.195e+05,2.391e+05,4.621e+05
163.9,1.142e+05,1.127e+05,2.690e+05,4.959e+05
165.3,1.218e+05,9.845e+04,2.847e+05,5.049e+05
166.8,1.200e+05,7.124e+04,2.828e+05,4.740e+05
168.3,1.175e+05,5.985e+04,2.876e+05,4.649e+05
169.8,1.202e+05,5.434e+04,2.895e+05,4.640e+05
171.3,1.195e+05,5.284e+04,2.889e+05,4.612e+05
172.8,1.199e+05,5.175e+04,2.957e+05,4.673e+05
174.3,1.264e+05,4.649e+04,3.023e+05,4.752e+05
175.8,1.341e+05,4.364e+04,3.132e+05,4.909e+05
177.3,1.376e+05,4.242e+04,3.218e+05,5.019e+05
178.8,1.247e+05,4.171e+04,3.054e+05,4.718e+05
180.2,1.232e+05,4.021e+04,3.010e+05,4.644e+05
181.7,1.271e+05,3.887e+04,2.907e+05,4.566e+05
183.2,1.237e+05,3.977e+04,2.736e+05,4.371e+05
184.7,1.276e+05,4.470e+04,2.792e+05,4.515e+05
186.2,1.309e+05,4.765e+04,2.812e+05,4.597e+05
187.7,1.320e+05,4.827e+04,2.746e+05,4.549e+05
189.2,1.335e+05,4.958e+04,2.631e+05,4.462e+05
190.7,1.264e+05,5.118e+04,2.369e+05,4.145e+05
192.2,1.143e+05,4.601e+04,2.071e+05,3.674e+05
193.6,9.995e+04,4.031e+04,1.772e+05,3.174e+05
195.1,8.844e+04,3.667e+04,1.558e+05,2.809e+05
196.6,8.538e+04,3.728e+04,1.530e+05,2.757e+05
198.1,8.141e+04,3.696e+04,1.491e+05,2.674e+05
199.6,7.328e+04,3.470e+04,1.385e+05,2.465e+05
