freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.009e+01,2.252e+02,2.935e+01,2.946e+02
1.5,4.806e+01,1.476e+02,6.905e+01,2.647e+02
3.0,3.763e+01,3.836e+01,6.569e+01,1.417e+02
4.5,3.479e+01,2.917e+02,6.761e+01,3.941e+02
6.0,3.503e+01,1.305e+03,6.680e+01,1.407e+03
7.5,3.765e+01,2.249e+03,6.769e+01,2.354e+03
9.0,3.612e+01,2.342e+03,8.285e+01,2.461e+03
10.5,3.482e+01,3.140e+03,1.082e+02,3.283e+03
12.0,3.815e+01,5.040e+03,9.758e+01,5.176e+03
13.5,4.602e+01,7.690e+03,8.800e+01,7.824e+03
15.0,5.170e+01,9.919e+03,1.201e+02,1.009e+04
16.5,6.276e+01,1.125e+04,1.686e+02,1.149e+04
17.9,6.426e+01,1.288e+04,1.892e+02,1.313e+04
19.4,7.060e+01,1.591e+04,1.587e+02,1.614e+04
20.9,9.472e+01,1.986e+04,1.148e+02,2.007e+04
22.4,1.459e+02,2.434e+04,9.233e+01,2.458e+04
23.9,1.876e+02,2.982e+04,1.222e+02,3.013e+04
25.4,2.752e+02,3.512e+04,2.134e+02,3.561e+04
26.9,3.070e+02,4.015e+04,2.473e+02,4.070e+04
28.4,2.553e+02,4.928e+04,2.218e+02,4.976e+04
29.9,2.734e+02,6.343e+04,1.814e+02,6.389e+04
31.4,3.933e+02,8.266e+04,1.565e+02,8.321e+04
32.9,5.908e+02,1.043e+05,2.013e+02,1.051e+05
34.4,8.321e+02,1.259e+05,3.222e+02,1.270e+05
35.9,1.128e+03,1.530e+05,5.209e+02,1.546e+05
37.4,1.622e+03,1.848e+05,7.935e+02,1.872e+05
38.9,2.336e+03,2.122e+05,1.413e+03,2.159e+05
40.4,3.429e+03,2.301e+05,2.170e+03,2.357e+05
41.9,4.861e+03,2.532e+05,2.905e+03,2.609e+05
43.4,5.693e+03,2.432e+05,3.739e+03,2.526e+05
44.9,5.962e+03,2.049e+05,4.066e+03,2.149e+05
46.4,6.786e+03,1.717e+05,4.195e+03,1.827e+05
47.9,8.809e+03,1.559e+05,6.335e+03,1.710e+05
49.4,1.301e+04,1.342e+05,9.523e+03,1.567e+05
50.9,2.722e+04,9.458e+04,1.420e+04,1.360e+05
52.3,4.691e+04,5.549e+04,2.041e+04,1.228e+05
53.8,5.315e+04,3.953e+04,2.431e+04,1.170e+05
55.3,4.902e+04,2.845e+04,2.717e+04,1.046e+05
56.8,4.634e+04,1.860e+04,2.978e+04,9.471e+04
58.3,4.653e+04,1.243e+04,3.095e+04,8.990e+04
59.8,4.650e+04,9.916e+03,2.796e+04,8.438e+04
61.3,5.091e+04,1.315e+04,2.557e+04,8.963e+04
62.8,5.552e+04,1.870e+04,2.473e+04,9.895e+04
64.3,5.798e+04,2.489e+04,2.518e+04,1.080e+05
65.8,6.216e+04,3.582e+04,2.574e+04,1.237e+05
67.3,6.548e+04,4.974e+04,2.898e+04,1.442e+05
68.8,6.838e+04,6.353e+04,3.410e+04,1.660e+05
70.3,6.698e+04,7.076e+04,3.415e+04,1.719e+05
71.8,6.320e+04,7.361e+04,3.122e+04,1.680e+05
73.3,5.791e+04,7.797e+04,2.201e+04,1.579e+05
74.8,5.247e+04,8.409e+04,1.428e+04,1.508e+05
76.3,5.551e+04,9.914e+04,1.901e+04,1.737e+05
77.8,7.169e+04,1.366e+05,2.667e+04,2.349e+05
79.3,8.354e+04,1.779e+05,2.673e+04,2.881e+05
80.8,8.702e+04,2.117e+05,2.299e+04,3.217e+05
82.3,8.953e+04,2.359e+05,2.392e+04,3.493e+05
83.8,8.842e+04,2.491e+05,2.317e+04,3.607e+05
85.2,8.198e+04,2.496e+05,1.628e+04,3.479e+05
86.7,7.223e+04,2.339e+05,1.285e+04,3.190e+05
88.2,6.220e+04,2.107e+05,1.162e+04,2.845e+05
89.7,5.646e+04,1.934e+05,8.307e+03,2.582e+05
91.2,4.931e+04,1.658e+05,5.382e+03,2.204e+05
92.7,4.248e+04,1.381e+05,3.272e+03,1.839e+05
94.2,3.749e+04,1.183e+05,3.128e+03,1.589e+05
95.7,3.795e+04,1.182e+05,2.954e+03,1.591e+05
97.2,4.027e+04,1.212e+05,4.679e+03,1.661e+05
98.7,3.889e+04,1.122e+05,5.071e+03,1.562e+05
100.2,3.885e+04,1.099e+05,4.630e+03,1.534e+05
101.7,4.027e+04,1.105e+05,7.726e+03,1.585e+05
103.2,4.078e+04,1.079e+05,1.581e+04,1.645e+05
104.7,4.066e+04,1.038e+05,2.175e+04,1.663e+05
106.2,4.477e+04,1.115e+05,2.380e+04,1.800e+05
107.7,4.917e+04,1.179e+05,2.177e+04,1.888e+05
109.2,5.030e+04,1.120e+05,1.747e+04,1.798e+05
110.7,5.074e+04,1.002e+05,1.322e+04,1.642e+05
112.2,4.994e+04,8.543e+04,9.324e+03,1.447e+05
113.7,4.722e+04,7.227e+04,7.075e+03,1.266e+05
115.2,4.129e+04,6.169e+04,5.453e+03,1.084e+05
116.7,3.496e+04,5.643e+04,4.252e+03,9.564e+04
118.2,3.098e+04,5.610e+04,3.436e+03,9.052e+04
119.6,2.939e+04,5.586e+04,3.151e+03,8.841e+04
121.1,2.708e+04,5.822e+04,3.252e+03,8.855e+04
122.6,2.417e+04,7.131e+04,3.412e+03,9.890e+04
124.1,2.182e+04,9.625e+04,3.576e+03,1.216e+05
125.6,2.031e+04,1.380e+05,3.984e+03,1.623e+05
127.1,1.951e+04,2.176e+05,4.830e+03,2.420e+05
128.6,1.875e+04,3.332e+05,5.706e+03,3.577e+05
130.1,1.505e+04,3.965e+05,5.861e+03,4.174e+05
131.6,1.019e+04,3.872e+05,4.997e+03,4.024e+05
133.1,4.684e+03,2.203e+05,3.000e+03,2.280e+05
134.6,9.257e+02,3.038e+04,1.314e+03,3.262e+04
136.1,7.473e+02,1.027e+04,1.111e+03,1.213e+04
137.6,9.830e+02,9.041e+03,1.222e+03,1.125e+04
139.1,1.125e+03,7.843e+03,1.393e+03,1.036e+04
140.6,1.099e+03,6.935e+03,1.498e+03,9.532e+03
142.1,1.009e+03,6.001e+03,1.630e+03,8.641e+03
143.6,8.905e+02,5.677e+03,1.632e+03,8.199e+03
145.1,9.582e+02,5.533e+03,1.725e+03,8.216e+03
146.6,1.064e+03,5.335e+03,1.830e+03,8.229e+03
148.1,1.169e+03,4.863e+03,1.969e+03,8.001e+03
149.6,1.421e+03,5.029e+03,2.419e+03,8.869e+03
151.1,1.837e+03,5.770e+03,3.710e+03,1.132e+04
152.6,2.707e+03,6.237e+03,8.192e+03,1.714e+04
154.0,4.161e+03,6.284e+03,1.571e+04,2.616e+04
155.5,6.020e+03,9.840e+03,2.233e+04,3.819e+04
157.0,7.452e+03,1.289e+04,2.562e+04,4.596e+04
158.5,7.342e+03,1.283e+04,2.424e+04,4.441e+04
160.0,6.635e+03,1.357e+04,2.099e+04,4.120e+04
161.5,6.895e+03,1.353e+04,1.900e+04,3.942e+04
163.0,8.850e+03,1.289e+04,2.146e+04,4.320e+04
164.5,1.134e+04,1.477e+04,2.650e+04,5.262e+04
166.0,1.263e+04,1.567e+04,3.084e+04,5.914e+04
167.5,1.152e+04,1.247e+04,2.921e+04,5.320e+04
169.0,1.020e+04,9.978e+03,2.579e+04,4.597e+04
170.5,1.039e+04,9.474e+03,2.517e+04,4.503e+04
172.0,1.282e+04,1.066e+04,2.816e+04,5.164e+04
173.5,1.876e+04,1.630e+04,3.610e+04,7.117e+04
